id,delta,epsilon,baseline_dist,simp_dist,orig_points,baseline_points,simp_points
4,11.860031060960358,0.5,17.790046591440536,16.77729485416093,672,136,104
3,14.194698422007447,0.5,21.29204763301117,20.0791810649333,1371,650,464
1,11.798658097438354,0.5,17.69798714615753,16.690301394064907,588,206,144
2,10.494525842993726,0.5,15.74178876449059,-1.0,1674,1571,1240
5,-1,0.5,-1,-1,798,338,-1
6,14.323947316355179,0.5,21.485920974532768,20.261948706680506,792,405,244
7,1.0641429768879558,0.5,1.5962144653319337,1.5098816464940603,454,385,326
8,0.0,0.5,0.0,-1.0,5,5,-1
9,13.712736041479543,0.5,20.569104062219314,19.397716099166967,643,557,444
13,6.727887563114415,0.5,10.091831344671622,9.51964956264116,368,337,310
12,9.899501262389142,0.5,14.849251893583714,14.004610117840018,814,174,112
11,11.440444238517784,0.5,17.160666357776677,-1.0,703,640,456
14,13.113833520896598,0.5,19.670750281344898,18.550595806039087,661,497,328
15,14.211709433146455,0.5,21.317564149719683,20.103344846353732,1131,912,624
10,12.400289933703036,0.5,18.600434900554554,-1.0,5617,2618,1224
17,11.596613874606824,0.5,17.394920811910236,-1.0,1979,344,180
16,6.795348699837981,0.5,10.193023049756972,-1.0,4463,227,120
20,-1,0.5,-1,-1,1520,437,-1
18,10.87075379061686,0.5,16.30613068592529,15.382364517301719,1615,91,64
19,10.552992731767835,0.5,15.829489097651754,14.929180469037682,808,122,74
22,1.3333333602834804e-05,0.5,2.0000000404252205e-05,2.7487384280976766e-05,2,2,2
21,14.339467073303226,0.5,21.50920060995484,20.283840435054284,1491,496,356
23,10.3405098569522,0.5,15.510764785428302,14.628634387170912,865,388,316
24,12.28727659898255,0.5,18.430914898473823,17.380711190084885,2030,625,374
26,12.52725103123609,0.5,18.790876546854136,17.720445036091395,1544,198,108
25,13.466294046675536,0.5,20.199441070013304,19.048817420154453,2260,1653,958
27,10.470874063931321,0.5,15.70631109589698,14.935311628851498,1974,1566,1072
28,-1,0.5,-1,-1,6023,2551,-1
29,11.29594777898172,0.5,16.94392166847258,-1.0,1404,1246,952
30,13.615109402354014,0.5,20.42266410353102,19.27957239973169,1966,1729,1164
32,12.95769552375018,0.5,19.43654328562527,18.329821551791007,550,415,320
31,14.677360157985866,0.5,22.0160402369788,-1.0,3602,1100,464
33,9.974948539760868,0.5,14.962422809641303,14.11169149546452,975,741,636
34,12.016519815366891,0.5,18.024779723050337,-1.0,4594,1968,900
35,12.155232279530795,0.5,18.232848419296193,-1.0,5621,1068,452
38,-1,0.5,-1,-1,1446,714,-1
36,11.675468097317976,0.5,17.513202145976965,-1.0,464,275,226
39,-1,0.5,-1,-1,1890,1261,-1
37,11.407324580669327,0.5,17.11098687100399,16.14251708454353,426,187,130
40,0.0,0.5,0.0,-1.0,7,7,-1
41,-1,0.5,-1,-1,1792,853,-1
43,0.0,0.5,0.0,-1.0,5,5,-1
42,10.483472722175748,0.5,15.725209083263621,14.829999999999927,1575,227,148
45,-1,0.5,-1,-1,3,3,-1
44,14.815293929964447,0.5,22.22294089494667,20.956971887057115,1603,577,434
46,14.079313819156498,0.5,21.118970728734748,19.916128948197986,1693,920,634
47,0.0,0.5,0.0,-1.0,8,7,-1
49,7.181316125905578,0.5,10.771974188858367,10.160892691926858,763,674,516
48,7.243427928153715,0.5,10.865141892230573,-1.0,905,458,400
50,6.780557101877391,0.5,10.170835652816086,9.59406490504856,576,479,376
51,14.296936911316381,0.5,21.445405366974573,20.223876254854726,858,688,426
