id,epsilon,iter,delta,simplify_time_s,frechet_time_s,dist,points,note
1,0.25,1,12.742550745233421,638.195700,2.055738,23.09130621215244,158,
1,0.25,2,11.468295670710079,609.840786,2.138703,21.717193063615802,172,
1,0.25,3,10.321466103639072,580.123043,2.136590,20.480399009824108,184,
1,0.25,4,9.289319493275165,611.434941,3.685005,19.367640275989203,188,
1,0.25,5,8.360387543947649,606.770281,2.231633,13.008327828269529,198,
1,0.25,6,7.524348789552884,621.463724,1.904176,11.152802659917102,210,exceed_baseline_points
1,0.5,1,10.618792287694518,159.522307,1.719813,23.012307525934204,162,
1,0.5,2,9.556913058925067,158.550361,2.242667,15.890392801998015,176,
1,0.5,3,8.601221753032561,147.236910,1.460364,20.41776838269558,184,
1,0.5,4,7.7410995777293055,154.432064,1.354164,13.551972087280115,196,
1,0.5,5,6.966989619956375,153.785413,1.760953,12.309583245155263,202,
1,0.5,6,6.270290657960738,149.226574,6.824134,11.126070785367208,214,exceed_baseline_points
1,0.75,1,9.101821960881015,107.183327,2.052002,22.75113818864036,168,
1,0.75,2,8.191639764792914,100.223124,4.301945,18.668512228252094,178,
1,0.75,3,7.372475788313623,99.307555,2.161195,20.205677969762068,188,
1,0.75,4,6.6352282094822606,101.554044,2.915532,12.997889911078781,198,
1,0.75,5,5.971705388534034,104.447344,1.705325,11.948085745499986,206,
1,0.75,6,5.374534849680631,103.890683,3.498449,10.786340991987537,214,exceed_baseline_points
2,0.25,1,11.334087910433224,1749.767329,0.366900,24.548715227265074,1282,
