id,epsilon,dp_dist,simp_dist,dp_points,best_simp_points,delta
1,0.25,98.17237726762798,94.42463067996867,112,112,78.53790181410238
1,0.5,98.17237726762798,92.56272675063316,112,112,65.44825151175199
1,0.75,98.17237726762798,90.48687972323756,112,112,56.098501295787415
2,0.25,340.43078639486714,328.22695351544957,822,458,272.3446291158937
2,0.5,340.43078639486714,321.60733574452325,822,464,226.9538575965781
3,0.25,222.04823189422464,213.56229842350496,220,142,177.6385855153797
3,0.5,222.04823189422464,209.34900167396643,220,146,148.03215459614975
3,0.75,222.04823189422464,204.6609641565756,220,144,126.88470393955694
5,0.25,521.3963895476361,501.46803682589996,220,122,417.1171116381089
5,0.5,521.3963895476361,491.58202311374896,220,124,347.5975930317574
5,0.75,521.3963895476361,480.5636643214485,220,124,297.94079402722065
6,0.25,99.0775444979324,95.29488668227951,112,128,79.26203559834592
6,0.5,99.0775444979324,93.41596042828041,112,132,66.05169633195493
6,0.75,99.0775444979324,91.3221213147633,112,130,56.615739713104226
7,0.25,97.42683331931165,93.70651762128988,228,244,77.94146665544932
7,0.5,97.42683331931165,91.85903194628374,228,248,64.95122221287444
7,0.75,97.42683331931165,89.80144610127343,228,248,55.672476182463804
9,0.5,568.0634149555046,535.5797640986941,300,108,378.70894330366974
9,0.75,568.0634149555046,523.7275151935796,300,110,324.6076656888598
11,0.25,101.69233109400936,98.27230528594382,310,340,81.35386487520749
11,0.5,101.69233109400936,96.36577586754387,310,340,67.79488739600625
11,0.75,101.69233109400936,94.21047526611994,310,340,58.10990348229107
13,0.25,185.23927161021086,178.16307520778835,238,210,148.19141728816868
13,0.5,185.23927161021086,174.65005006255208,238,214,123.49284774014058
13,0.75,185.23927161021086,170.734799303402,238,212,105.85101234869192
14,0.25,426.59776015490985,410.2929952014611,200,94,341.27820812392787
14,0.5,426.59776015490985,402.2050931866121,200,96,284.3985067699399
14,0.75,426.59776015490985,393.189679933136,200,96,243.7701486599485
15,0.25,116.23723034561651,111.79804367761527,392,390,92.98978427649321
15,0.5,116.23723034561651,109.5944917053938,392,394,77.49148689707768
15,0.75,116.23723034561651,107.13810070198825,392,400,66.42127448320943
17,0.5,131.78836426073624,124.25511942237269,78,70,87.85890950715749
17,0.75,131.78836426073624,121.47047250955339,78,70,75.30763672042072
18,0.25,6196.017048681944,5959.176052473107,5,6,4956.813638945556
18,0.5,6196.017048681944,5841.7134858361405,5,6,4130.67803245463
18,0.75,6196.017048681944,5710.776024295852,5,6,3540.5811706753966
21,0.25,235.6574016572178,226.6526061561385,255,178,188.52592132577425
21,0.5,235.6574016572178,222.18251152036308,255,180,157.1049344381452
21,0.75,235.6574016572178,217.20447849576985,255,182,134.66137237555304
22,0.25,2.0000000404252205e-05,2.0000000404252205e-05,2,2,1.6000000323401763e-05
22,0.5,2.0000000404252205e-05,2.0000000404252205e-05,2,2,1.3333333602834804e-05
22,0.75,2.0000000404252205e-05,2.0000000404252205e-05,2,2,1.1428571659572689e-05
23,0.25,317.39277637207084,305.4757154636199,232,140,253.91422109765668
23,0.5,317.39277637207084,299.41417001102974,232,144,211.59518424804722
23,0.75,317.39277637207084,292.7401300386898,232,146,181.36730078404048
27,0.25,157.5518561164371,151.53321309448904,622,538,126.04148489314969
27,0.5,157.5518561164371,148.59039044687714,622,564,105.0345707442914
27,0.75,157.5518561164371,145.21738322307837,622,566,90.02963206653548
29,0.25,110.18680136769812,105.97918236261404,622,644,88.1494410941585
29,0.5,110.18680136769812,103.889834804516,622,648,73.45786757846541
29,0.75,110.18680136769812,101.56158001647107,622,658,62.9638864958275
32,0.25,163.1886568259084,156.95389747322164,205,178,130.55092546072672
32,0.5,163.1886568259084,153.86054887015237,205,178,108.79243788393893
32,0.75,163.1886568259084,150.4122340284886,205,178,93.25066104337623
36,0.25,99.00489603335834,95.22437037601625,181,192,79.20391682668667
36,0.5,99.00489603335834,93.34730734181649,181,192,66.0032640222389
36,0.75,99.00489603335834,91.25519326593464,181,192,56.57422630477619
37,0.25,168.4129764855309,162.0573554334728,53,36,134.7303811884247
37,0.5,168.4129764855309,158.8541386333963,53,38,112.2753176570206
37,0.75,168.4129764855309,155.30126477529754,53,38,96.23598656316051
40,0.25,0.00537798140695048,0.006253488119909889,6,6,0.004302385125560384
40,0.5,0.00537798140695048,0.010905728573662534,6,6,0.0035853209379669865
40,0.75,0.00537798140695048,0.005648573140206281,6,6,0.003073132232543131
42,0.25,207.40888109432072,199.47984316713686,28,16,165.92710487545656
42,0.5,207.40888109432072,195.54567076259167,28,16,138.27258739621382
42,0.75,207.40888109432072,191.1636595489263,28,16,118.51936062532613
44,0.25,140.71476544645373,135.735715060207,292,242,112.57181235716298
44,0.5,140.71476544645373,133.13785382573448,292,248,93.80984363096916
44,0.75,140.71476544645373,130.13041142755483,292,250,80.40843739797356
45,0.25,0.00039993134305404965,0.00039993134305404965,3,4,0.00031994507444323974
45,0.5,0.00039993134305404965,0.00039993134305404965,3,4,0.00026662089536936645
45,0.75,0.00039993134305404965,0.00039993134305404965,3,4,0.00022853219603088552
46,0.25,99.5722768540459,95.76952546361613,260,290,79.65782148323672
46,0.5,99.5722768540459,93.87989310899931,260,306,66.38151790269727
46,0.75,99.5722768540459,91.777690852054,260,310,56.89844391659766
47,0.25,0.7531584670344003,0.722740620878686,6,8,0.6025267736275202
47,0.5,0.7531584670344003,0.7100171336791246,6,8,0.5021056446896002
47,0.75,0.7531584670344003,0.6981371211936312,6,8,0.43037626687680014
48,0.25,98.2744478308664,94.5218946253102,286,290,78.61955826469311
48,0.5,98.2744478308664,92.65872959684322,286,296,65.51629855391093
48,0.75,98.2744478308664,90.65667580658899,286,296,56.15682733192365
49,0.25,104.45264844066035,100.46437382070357,304,328,83.56211875252828
49,0.5,104.45264844066035,98.4837629315456,304,336,69.63509896044023
49,0.75,104.45264844066035,96.27630156206901,304,336,59.68722768037735
50,0.25,200.40447290040996,192.74822808684772,246,218,160.32357832032795
50,0.5,200.40447290040996,188.9479632327023,246,220,133.60298193360663
50,0.75,200.40447290040996,184.71376919063414,246,220,114.51684165737711
51,0.25,98.68307231500273,95.7620083566581,209,238,78.94645785200218
51,0.5,98.68307231500273,93.20596459330721,209,236,65.7887148766685
51,0.75,98.68307231500273,91.06581634556383,209,244,56.39032703714442
52,0.25,142.20458039019692,136.21596285013726,15,6,113.76366431215754
52,0.5,142.20458039019692,127.26376729634418,15,6,94.80305359346461
52,0.75,142.20458039019692,131.06451541726344,15,8,81.25976022296967
53,0.25,97.18595005108139,93.6824197022442,158,168,77.74876004086511
53,0.5,97.18595005108139,91.63261852902448,158,180,64.7906333673876
53,0.75,97.18595005108139,89.57746598197325,158,180,55.534828600617935
54,0.25,200.51320134396704,193.2457001028777,514,382,160.41056107517363
54,0.5,200.51320134396704,189.05045204162963,514,384,133.67546756264468
54,0.75,200.51320134396704,184.81353140689964,514,386,114.5789721965526
55,0.25,100.62956961103013,96.78609788855242,307,316,80.50365568882411
55,0.5,100.62956961103013,94.87933412686775,307,320,67.08637974068675
55,0.75,100.62956961103013,92.75336144225312,307,320,57.50261120630294
56,0.25,186.50276530456847,179.58274205968587,499,412,149.20221224365477
56,0.5,186.50276530456847,175.84136613742024,499,416,124.33517686971231
56,0.75,186.50276530456847,171.90015657601933,499,418,106.5730087454677
57,0.25,97.72656770123506,93.99553434181223,292,308,78.18125416098805
57,0.5,97.72656770123506,92.14100906818354,292,318,65.1510451341567
57,0.75,97.72656770123506,90.07629525580087,292,322,55.84375297213432
58,0.25,98.67202845942889,95.37528931171221,464,472,78.9376227675431
58,0.5,98.67202845942889,93.35760978158109,464,484,65.78135230628592
58,0.75,98.67202845942889,91.66725211233813,464,486,56.38401626253079
60,0.25,146.6630591456515,141.05680699632995,8,6,117.33044731652119
60,0.5,146.6630591456515,138.36395444646624,8,6,97.77537276376766
60,0.75,146.6630591456515,135.17871134169036,8,6,83.8074623689437
61,0.25,462.4162116187947,444.7418028016477,639,296,369.9329692950358
61,0.5,462.4162116187947,435.9741827202858,639,304,308.2774744125298
61,0.75,462.4162116187947,426.2037866456337,639,304,264.23783521073983
62,0.25,72.62390560345179,69.93489969323815,3,4,58.09912448276143
62,0.5,72.62390560345179,68.47000000019064,3,4,48.41593706896786
