id,epsilon,dp_frechet_time_s,simplify_time_s,simplified_frechet_time_s
92,0.75,0.291174,8.572446,1.186925
93,0.25,22.092930,106.632131,5.161587
93,0.5,22.092930,30.220038,2.413570
93,0.75,22.092930,20.094893,5.567827
94,0.25,0.110365,100.157465,3.093509
94,0.5,0.110365,25.263508,22.327616
94,0.75,0.110365,18.795342,3.889709
95,0.25,11.644060,57.245052,4.858068
95,0.5,11.644060,14.093490,6.948453
95,0.75,11.644060,9.137903,9.179166
96,0.25,98.064785,86.577571,16.608173
96,0.5,98.064785,24.476945,42.883640
96,0.75,98.064785,15.749593,15.381200
97,0.25,0.378571,72.845212,1.789130
97,0.5,0.378571,19.658130,1.324383
97,0.75,0.378571,12.653155,1.204902
98,0.25,24.802971,153.157949,8.187947
98,0.5,24.802971,43.019039,8.347821
98,0.75,24.802971,27.967413,6.178577
99,0.25,0.647845,65.230739,2.086685
99,0.5,0.647845,18.891709,3.436045
99,0.75,0.647845,13.674813,2.084004
100,0.25,0.527557,91.365771,3.002472
100,0.5,0.527557,24.926840,17.447577
100,0.75,0.527557,15.896481,16.358962
