id,baseline_algo,original_points,baseline_points,simplify_points,baseline_frechet,simplify_frechet,baseline_time,simplify_time,best_e,best_d
8,DP,5,5,10,0.0,8.879192686811778e-07,0.010735458999988623,14.651944209006615,0.7,0.0
8,DOTS,5,5,10,0.0,8.879192686811778e-07,0.05846370799554279,11.662272041001415,0.7,0.0
8,SQUISH,5,1,-1,,-1,0.016875124994840007,-1,-1,-1
7,DP,454,188,198,199.68838773994975,168.9809624093879,0.010869874997297302,12.28164833199844,0.8,110.93799318886097
7,DOTS,454,385,326,1.9952680816630264,1.693815435543087,0.02954420799505897,13.595899084000848,0.8,1.1084822675905701
7,SQUISH,454,45,20,3624.0145675796616,3030.929787501738,0.005925833000219427,10.641551749991777,0.8,2013.3414264331452
4,DP,672,75,84,217.0181040049075,183.64534431544473,0.017956167001102585,12.69551049900474,0.8,120.56561333605973
4,DOTS,672,135,108,22.237558239300526,18.82166178317134,0.03530645799764898,14.535620500006189,0.8,12.354199021833626
4,SQUISH,672,67,48,738.4220826353994,624.8510299824942,0.030474292005237658,10.769175916997483,0.8,410.23449035299967
1,DP,588,98,66,665.7421740552596,563.3529233273556,0.016814792004879564,12.585250874995836,0.8,369.8567633640331
1,DOTS,588,194,140,29.770863400436983,25.196301687538746,0.040091374998155516,17.057058542006416,0.8,16.539368555798323
1,SQUISH,588,58,34,1979.988501317559,1675.4651258208246,0.03146995799761498,10.350356249997276,0.8,1099.9936118430883
5,DP,798,196,110,691.8089890126925,585.4155327080331,0.021698582997487392,15.678997958995751,0.8,384.33832722927355
5,DOTS,798,337,306,4.616333021022746,3.9123455665595994,0.042180292002740316,15.610094250005204,0.8,2.5646294561237477
5,SQUISH,798,79,52,1894.4059797054408,1603.043990477,0.03749766699911561,10.535569208994275,0.8,1052.4477665030226
6,DP,792,76,70,238.84309686685597,202.1140536108914,0.011509415999171324,14.408546584003489,0.8,132.69060937047553
6,DOTS,792,388,254,29.440953703872378,24.91838758915795,0.04054966600233456,19.035076874999504,0.8,16.35608539104021
6,SQUISH,792,79,42,477.3178032605049,403.90697512649695,0.017103874997701496,10.595794459004537,0.8,265.1765573669472
3,DP,1371,164,132,291.03612017852373,246.27790597735034,0.015381791999971028,15.029375416997937,0.8,161.6867334325132
3,DOTS,1371,637,472,30.762969306909543,26.03678045379008,0.04023904100176878,22.500925749998714,0.8,17.090538503838633
3,SQUISH,1371,137,54,714.0485129407639,604.2277461436965,0.013794666003377642,10.988732750003692,0.8,396.69361830042436
2,DP,1674,681,450,425.53860496258875,360.09414973589344,0.02189945799909765,14.294094958000642,0.8,236.41033609032706
2,DOTS,1674,1567,1198,30.353248293173685,25.690993222393463,0.04315629100165097,25.961374750993855,0.8,16.862915718429825
2,SQUISH,1674,167,88,3043.468497258587,2575.3773263768767,0.008919334002712276,14.267587166992598,0.8,1690.815831810326
9,DP,643,222,104,709.1629536293013,600.0949954458066,0.03335791600693483,11.169960125007492,0.8,393.97941868294515
9,DOTS,643,556,452,25.711380077775473,21.761600540517556,0.06463620800059289,12.83819337499881,0.8,14.284100043208596
9,SQUISH,643,64,26,1967.7068065889248,1665.0699164924838,0.00747308399877511,10.906191417001537,0.8,1093.1704481049583
11,DP,703,267,286,211.37756848023093,178.87420130462385,0.008835583998006769,11.16009195800143,0.8,117.43198248901719
11,DOTS,703,637,454,29.847798083519553,25.263123735821576,0.055358999998134095,11.5263149589955,0.8,16.58211004639975
11,SQUISH,703,70,28,3149.369141964579,2664.9889006502203,0.009249124996131286,9.33175625000149,0.8,1749.6495233136548
13,DP,368,206,208,231.24233163407607,195.68296788159034,0.006549417004862335,14.848630374006461,0.8,128.46796201893113
13,DOTS,368,334,296,28.270714768499296,23.92711410044032,0.034593750002386514,11.916330708991154,0.8,15.705952649166274
13,SQUISH,368,36,4,8755.942369356322,7087.275878981922,0.021259290995658375,9.853972417004115,0.8,4864.412427420179
12,DP,814,3,8,230.38129142225083,186.05423981327354,0.025962083993363194,13.42610983200575,0.8,127.9896063456949
12,DOTS,814,158,104,23.108981953127604,19.55763354580735,0.026803332999406848,12.89963600000192,0.8,12.838323307293113
12,SQUISH,814,81,44,55.84695826304789,47.26076697005137,0.007424916002491955,11.643795083000441,0.8,31.026087923915494
14,DP,661,150,82,537.8174403295876,455.1046099153367,0.010089542003697716,13.478048040997237,0.8,298.7874668497709
14,DOTS,661,490,326,29.390881874042048,24.87473629749976,0.027819750001071952,9.850455084000714,0.8,16.32826770780114
14,SQUISH,661,66,26,1786.930429223478,1512.0963466724718,0.021544333001656923,9.170353833011177,0.8,992.7391273463767
15,DP,1131,307,212,375.2395374919158,317.532107759337,0.009864542000286747,15.465863667006488,0.8,208.466409717731
15,DOTS,1131,902,652,26.64695518715059,22.553946628018494,0.09233287499955622,11.23986716599029,0.8,14.803863992861437
15,SQUISH,1131,113,20,3031.2469435856638,2565.0318747694996,0.009857124998234212,11.365870415997051,0.8,1684.0260797698131
