id,best_delta,epsilon,baseline_dist,best_simp_dist,orig_points,baseline_points,best_points,note
78,6.084561712580916,0.5,22.282330490408622,8.608415549959071,985,158,156,
83,7.084699481795325,0.5,16.60476441045779,10.024232233174244,973,831,722,
80,5.36354128548729,0.5,19.641874824782555,7.6574309994401855,1193,976,740,
86,-1,0.5,-1,-1,1054,853,-1,baseline_frechet_failed
85,13.044716164683559,0.5,19.56707424702534,-1.0,1657,1455,1084,frechet_failed_or_timeout
82,2.3438551286444964,0.5,16.764558281739916,3.3195982810659888,662,476,450,
87,9.541094508709026,0.5,14.31164176306354,-1.0,1265,1173,890,frechet_failed_or_timeout
88,13.875669151865774,0.5,20.81350372779866,-1.0,1274,1080,818,frechet_failed_or_timeout
84,11.783338837133062,0.5,22.09376031962449,16.77618366413165,2643,1655,1120,
89,12.639639029148524,0.5,18.959458543722786,-1.0,1585,1390,1000,frechet_failed_or_timeout
90,12.496272306239844,0.5,18.744408459359764,-1.0,1254,1117,846,frechet_failed_or_timeout
93,14.66397982679171,0.5,21.995969740187565,-1.0,1680,783,532,frechet_failed_or_timeout
94,12.364160412154511,0.5,18.546240618231767,-1.0,1629,525,404,frechet_failed_or_timeout
95,10.058931750397058,0.5,18.86049703199448,14.230457473373907,838,492,408,
91,5.9477405011270434,0.5,17.42502099939563,8.415279626816002,1770,211,204,
97,-1,0.5,-1,-1,904,491,-1,baseline_frechet_failed
92,3.642167158351705,0.5,20.840647649870128,5.15573349633814,754,471,434,
96,5.152754651989419,0.5,18.869951118125307,7.291574753080566,1002,401,400,
98,11.528664154623385,0.5,17.292996231935078,-1.0,1836,948,706,frechet_failed_or_timeout
101,-1,0.5,-1,-1,9,7,-1,baseline_frechet_failed
99,11.52080476775525,0.5,21.60150893954109,16.348939587291955,865,198,124,
100,9.687439754742087,0.5,18.16394954014141,13.705075664116873,1323,1188,866,
102,8.602228574808416,0.5,20.161473222207224,12.170249830127611,987,758,512,
105,7.313527840497831,0.5,13.712864700933434,10.347722601556086,801,396,340,
104,3.6808808035061973,0.5,13.479788098777576,5.210533763564162,1032,772,648,
103,3.8170864012300814,0.5,21.841543586140133,5.403136883290265,892,565,472,
108,12.38788021071778,0.5,18.58182031607667,-1.0,945,803,590,frechet_failed_or_timeout
107,8.60708123153283,0.5,20.172846636405065,12.19574511530391,1258,982,696,
110,8.950908160844316,0.5,13.426362241266473,-1.0,778,562,460,frechet_failed_or_timeout
109,12.61111587532134,0.5,18.916673812982012,17.958202614190192,633,499,378,
106,1.3260170509111306,0.5,18.52424420757866,1.880262770772031,858,823,780,
114,0.0,0.5,0.0,-1.0,326,325,-1,simplify_failed
113,14.488666630005065,0.5,21.7329999450076,-1.0,1883,1484,1014,frechet_failed_or_timeout
112,7.596212249551387,0.5,14.242897967908851,10.76223403758976,353,319,256,
115,12.229511812743603,0.5,18.344267719115404,-1.0,1197,967,688,frechet_failed_or_timeout
116,12.523999822862727,0.5,18.78599973429409,-1.0,1614,1311,952,frechet_failed_or_timeout
111,0.24616756589774713,0.5,3.4389211688807277,0.35292629102832335,136,118,110,
119,-1,0.5,-1,-1,2,2,-1,baseline_frechet_failed
117,6.160454370830081,0.5,18.048206164541252,8.782204273215992,666,606,470,
118,13.095776417789445,0.5,19.643664626684167,18.525209395809917,2554,1743,1156,
122,7.594966662446551,0.5,22.25087889388638,10.745568503055226,1498,391,346,
120,2.352281828514261,0.5,13.459864588819086,3.331247206480051,1188,108,92,
121,5.4111829238977265,0.5,19.816343715445772,7.6586095352202,1588,724,650,
126,-1,0.5,-1,-1,819,326,-1,baseline_frechet_failed
125,10.211509953873309,0.5,15.317264930809962,-1.0,875,589,508,frechet_failed_or_timeout
128,9.995385417004512,0.5,14.993078125506768,-1.0,1074,987,698,frechet_failed_or_timeout
123,3.382737221302565,0.5,19.3561776426462,4.78873808571214,1794,429,378,
124,6.183844343165196,0.5,14.493385179293428,8.75,2040,240,224,
127,3.140747752175749,0.5,17.97150279336404,4.446599148382554,656,221,218,
129,3.724927818993883,0.5,21.31420794864968,5.272698551275204,851,653,532,
131,8.13011475636569,0.5,12.195172134548537,-1.0,5720,129,36,frechet_failed_or_timeout
133,-1,0.5,-1,-1,1550,435,-1,baseline_frechet_failed
134,-1,0.5,-1,-1,867,218,-1,baseline_frechet_failed
132,14.258772038100497,0.5,21.388158057150747,20.32534545262896,3751,1829,812,
136,-1,0.5,-1,-1,2492,80,-1,baseline_frechet_failed
137,6.589935778740959,0.5,9.88490366811144,-1.0,291,266,236,frechet_failed_or_timeout
130,2.3053049476988017,0.5,20.61103237598062,3.2651885443758903,895,762,662,
135,1.8736751684719595,0.5,16.751961426186195,2.6537177156324816,604,230,226,
139,4.319552477118186,0.5,19.77334202782372,6.161608922814093,583,532,502,
138,1.5432680023976013,0.5,13.797891161420353,2.187455685440588,392,346,326,
140,1.5668370369258302,0.5,21.88846054848977,2.222364193847997,360,314,306,
143,8.401211197268916,0.5,12.601816795903375,-1.0,991,656,570,frechet_failed_or_timeout
145,7.724162636115789,0.5,18.103506178396376,10.928587304973062,1028,778,586,
144,2.041808630653239,0.5,18.25519171941195,2.8925344447119112,496,345,296,
147,11.28945185776247,0.5,16.934177786643705,-1.0,2397,1493,748,frechet_failed_or_timeout
141,2.733068882315975,0.5,19.548431985254098,3.901709277891844,1997,826,746,
146,12.65562077847668,0.5,18.98343116771502,17.940963692869136,3591,1688,754,
148,-1,0.5,-1,-1,823,402,-1,baseline_frechet_failed
142,3.010888344816982,0.5,21.5355516301416,4.295477858301102,2298,1027,938,
149,14.627062381592518,0.5,21.940593572388778,20.74517346423744,909,646,530,
150,12.9014457850505,0.5,19.35216867757575,-1.0,2165,1937,1330,frechet_failed_or_timeout
152,12.44813867136944,0.5,18.67220800705416,-1.0,1446,1192,894,frechet_failed_or_timeout
151,9.836886758890643,0.5,18.44416267291995,13.916457260671136,1378,960,740,
154,11.524896199328483,0.5,17.287344298992725,16.302173638970284,1889,303,142,
155,10.552153707255485,0.5,15.828230560883227,14.92796947582211,1065,810,522,
153,6.792369913713324,0.5,19.899521231582,9.610638277726563,684,313,292,
156,6.73846987609739,0.5,10.107704814146084,9.534609137386393,960,621,548,
157,13.592859020733565,0.5,20.389288531100348,-1.0,1654,1412,1044,frechet_failed_or_timeout
159,0.026030018112726244,0.5,0.039045027169089364,-1.0,35,34,34,frechet_failed_or_timeout
158,12.867848208805496,0.5,19.301772313208243,18.202399488384547,713,298,186,
160,11.266233425206458,0.5,16.899350137809687,-1.0,1295,1035,918,frechet_failed_or_timeout
161,10.242955050972975,0.5,15.364432576459464,-1.0,2381,333,192,frechet_failed_or_timeout
165,5.3362642418758055,0.5,8.004396362813708,-1.0,824,418,370,frechet_failed_or_timeout
164,6.566662316515931,0.5,9.849993474773896,9.330687253553693,1686,723,602,
167,7.619410448126776,0.5,11.429115672190164,-1.0,897,817,700,frechet_failed_or_timeout
162,4.785210166203653,0.5,17.5239630109997,6.768708999102532,1263,192,180,
163,0.2929888525418411,0.5,4.093006987243531,0.41932592098287447,462,461,448,
168,14.643632847019616,0.5,21.965449270529422,-1.0,682,523,332,frechet_failed_or_timeout
171,0.0,0.5,0.0,-1.0,2,2,-1,simplify_failed
169,12.656635782894078,0.5,18.984953674341117,-1.0,819,506,434,frechet_failed_or_timeout
166,1.3837097603835058,0.5,5.067296485779439,1.961833598698597,567,557,532,
173,-1,0.5,-1,-1,9,2,-1,baseline_frechet_failed
170,1.8106624911535558,0.5,4.243740213641146,2.56209776606227,14,11,10,
176,14.429652129698662,0.5,21.644478194547993,-1.0,2189,1586,1048,frechet_failed_or_timeout
172,0.9872373652939346,0.5,4.51921401349152,1.400539994285325,19,14,10,
178,0.0,0.5,0.0,-1.0,28,28,-1,simplify_failed
179,-1,0.5,-1,-1,2016,1320,-1,baseline_frechet_failed
175,14.019923820537535,0.5,21.029885730806303,19.83210206026556,3102,467,198,
180,14.727617644377316,0.5,22.091426466565974,20.86721043026886,1751,1176,664,
174,4.571520720156082,0.5,20.92676110911292,6.534703881240768,1694,570,546,
182,6.460998909689937,0.5,9.691498364534905,-1.0,731,388,326,frechet_failed_or_timeout
181,11.820892617227727,0.5,22.164173657301987,16.722108205304888,2439,519,298,
177,8.012521151590379,0.5,18.77934644903995,11.389666282572104,3692,1636,926,
185,13.414384030732613,0.5,20.12157604609892,-1.0,802,233,180,frechet_failed_or_timeout
184,11.770000975927571,0.5,22.068751829864194,16.65014564908627,1422,700,428,
183,8.28488157671228,0.5,19.417691195419405,11.728280958277807,1759,1111,798,
187,10.969995474761804,0.5,16.454993212142707,-1.0,1709,469,364,frechet_failed_or_timeout
188,-1,0.5,-1,-1,1290,564,-1,baseline_frechet_failed
186,7.41213433550335,0.5,21.71523731104497,10.487145296920334,590,128,110,
192,0.0,0.5,0.0,-1.0,89,10,-1,simplify_failed
191,12.325552546639562,0.5,18.488328819959342,-1.0,1135,1109,970,frechet_failed_or_timeout
193,13.562203606152943,0.5,20.343305409229416,-1.0,890,727,598,frechet_failed_or_timeout
189,7.987248861326463,0.5,18.720114518733894,11.40956824825283,890,738,564,
190,7.766402725388675,0.5,18.202506387629704,10.988184625974357,1062,242,210,
194,10.4263892270695,0.5,19.54947980075531,14.831878182678375,721,644,554,
195,13.786740264061516,0.5,20.680110396092275,-1.0,1953,1692,1110,frechet_failed_or_timeout
197,13.306097961551664,0.5,19.959146942327497,-1.0,963,704,544,frechet_failed_or_timeout
199,-1,0.5,-1,-1,779,197,-1,baseline_frechet_failed
198,11.758693794413878,0.5,17.638040691620816,-1.0,766,564,454,frechet_failed_or_timeout
196,11.292290823966786,0.5,16.938436235950178,16.034959955476488,1539,1169,872,
202,-1,0.5,-1,-1,635,2,-1,baseline_frechet_failed
201,14.64024367806825,0.5,21.960365517102375,-1.0,2497,2085,1280,frechet_failed_or_timeout
204,5.04092425876272,0.5,7.56138638814408,-1.0,1233,418,360,frechet_failed_or_timeout
206,-1,0.5,-1,-1,769,242,-1,baseline_frechet_failed
205,13.318788933904015,0.5,19.97818340085602,18.88402623418464,1437,1001,676,
203,6.8361619304762336,0.5,20.027818155692085,9.691949880992052,1349,321,300,
200,4.94103964744775,0.5,18.094627615165095,6.992680883364856,1751,613,452,
208,8.97238441590072,0.5,21.02902597476731,12.764789648975343,862,661,462,
207,7.505256295167162,0.5,21.988055552247545,10.676922080714656,1526,943,690,
211,6.522185298653994,0.5,9.783277947980991,-1.0,877,449,366,frechet_failed_or_timeout
209,7.1949182310626005,0.5,21.07886200506621,10.25926281602175,985,714,554,
213,13.719564638023977,0.5,20.579346957035966,-1.0,721,585,468,frechet_failed_or_timeout
215,-1,0.5,-1,-1,3236,1748,-1,baseline_frechet_failed
214,10.058765856332597,0.5,15.088148784498896,-1.0,719,414,324,frechet_failed_or_timeout
210,1.1805788157305066,0.5,16.492495533039413,1.674436057713163,171,114,100,
216,5.251043191312962,0.5,7.8765647869694435,7.431075388220467,680,654,570,
212,3.929379817605632,0.5,17.987273334986714,5.584327235820292,490,340,296,
218,5.7620629311690985,0.5,8.643094396753648,-1.0,1137,867,722,frechet_failed_or_timeout
219,5.629174339866586,0.5,20.61465212353486,7.967430108080675,919,372,336,
217,5.77190800397689,0.5,21.1373584130013,8.167481680378305,1170,316,272,
221,7.115912974739809,0.5,16.677921034546426,10.06367960951648,1759,232,196,
