id,n_points,epsilon,delta,base_ms,opt_ms,ratio,saved_ms
1,588,299.0,1.0,5.8068,5.0525,0.8701,0.7543
2,1674,299.0,1.0,12.5674,11.5308,0.9175,1.0366
3,1371,299.0,1.0,9.7931,8.4897,0.8669,1.3034
4,672,299.0,1.0,5.5388,5.2569,0.9491,0.2819
5,798,299.0,1.0,4.8673,4.6744,0.9604,0.1929
6,792,299.0,1.0,5.0712,4.8169,0.9499,0.2543
7,454,299.0,1.0,2.8083,2.388,0.8503,0.4203
8,5,299.0,1.0,0.0548,0.0621,1.1332,-0.0073
9,643,299.0,1.0,4.1681,3.9167,0.9397,0.2514
10,5617,299.0,1.0,45.267,53.5297,1.1825,-8.2627
11,703,299.0,1.0,5.1232,4.222,0.8241,0.9012
12,814,299.0,1.0,11.0813,10.662,0.9622,0.4193
13,368,299.0,1.0,2.309,2.1132,0.9152,0.1958
14,661,299.0,1.0,4.5134,4.2493,0.9415,0.2641
15,1131,299.0,1.0,7.8374,8.7558,1.1172,-0.9184
16,4463,299.0,1.0,126.496,142.4347,1.126,-15.9387
17,1979,299.0,1.0,22.4087,16.1043,0.7187,6.3044
18,1615,299.0,1.0,19.9769,17.269,0.8644,2.7079
19,808,299.0,1.0,8.2584,7.7735,0.9413,0.4849
20,1520,299.0,1.0,11.4599,11.2608,0.9826,0.1991
21,1491,299.0,1.0,11.6209,11.3497,0.9767,0.2712
22,2,299.0,1.0,0.0461,0.0432,0.9371,0.0029
23,865,299.0,1.0,6.7323,6.2948,0.935,0.4375
24,2030,299.0,1.0,22.6331,27.7618,1.2266,-5.1287
25,2260,299.0,1.0,23.7659,22.6461,0.9529,1.1198
26,1544,299.0,1.0,20.9282,18.8166,0.8991,2.1116
27,1974,299.0,1.0,14.2657,11.7069,0.8206,2.5588
28,6023,299.0,1.0,45.1522,38.0838,0.8435,7.0684
29,1404,299.0,1.0,7.7912,7.9409,1.0192,-0.1497
30,1966,299.0,1.0,13.1676,12.7162,0.9657,0.4514
31,3602,299.0,1.0,34.3483,31.9016,0.9288,2.4467
32,550,299.0,1.0,3.5015,3.2837,0.9378,0.2178
33,975,299.0,1.0,5.8554,5.469,0.934,0.3864
34,4594,299.0,1.0,36.7079,34.8178,0.9485,1.8901
35,5621,299.0,1.0,54.8879,50.3533,0.9174,4.5346
36,464,299.0,1.0,3.3767,3.2314,0.957,0.1453
37,426,299.0,1.0,3.8682,3.7327,0.965,0.1355
38,1446,299.0,1.0,10.6203,10.0859,0.9497,0.5344
39,1890,299.0,1.0,11.714,11.3193,0.9663,0.3947
40,7,299.0,1.0,0.083,0.0851,1.0253,-0.0021
41,1792,299.0,1.0,19.1513,23.8556,1.2456,-4.7043
42,1575,299.0,1.0,30.5015,27.359,0.897,3.1425
43,5,299.0,1.0,0.096,0.0817,0.851,0.0143
44,1603,299.0,1.0,16.8976,11.5766,0.6851,5.321
45,3,299.0,1.0,0.0587,0.0502,0.8552,0.0085
46,1693,299.0,1.0,11.3951,9.6473,0.8466,1.7478
47,8,299.0,1.0,0.074,0.0737,0.9959,0.0003
48,905,299.0,1.0,5.3097,5.0028,0.9422,0.3069
49,763,299.0,1.0,4.3972,4.1866,0.9521,0.2106
50,576,299.0,1.0,3.0538,3.0117,0.9862,0.0421
