id,dots_threshold,dots_points,simplify_points,dots_frechet,simplify_frechet,relative_frechet_mismatch,quality_status,simplify_epsilon,simplify_delta,dots_median_ms,dots_iqr_ms,simplify_median_ms,simplify_iqr_ms,dots_runs,simplify_runs
1,1000.0,194,130,29.770863400436983,29.76754439756529,0.00011148493837926309,ok,0.5,19.847242266957988,0.32555,0.005099999999999993,161.57,0.9950000000000045,20,20
2,1000.0,1567,1148,30.353248293173685,30.351063644842753,7.197411986456524e-05,ok,0.5,20.23549886211579,0.58565,0.01615000000000011,408.935,1.855000000000075,20,20
3,1000.0,637,436,30.762969306909543,30.744736349398337,0.0005926917304146728,ok,0.666,18.465167651206208,0.52315,0.018875000000000086,190.88,3.8049999999999784,20,20
4,1000.0,135,112,22.237558239300526,22.224210365207878,0.0006002400960128226,ok,0.666,13.347874093217603,0.48545,0.013000000000000012,86.775,0.8224999999999909,20,20
5,1000.0,337,304,4.616333021022746,4.613562112846941,0.0006002400960214338,ok,0.666,2.7709081758840015,0.2514,0.013775000000000037,100.03,0.4825000000000159,20,20
6,1000.0,388,232,29.440953703872378,29.43709272268926,0.000131143210303295,ok,0.5,19.627302469248253,0.27980000000000005,0.010824999999999974,213.64,0.8125,20,20
7,1000.0,385,330,1.9952680816630264,1.9940704417583008,0.0006002400959210101,ok,0.666,1.1976399049597999,0.1544,0.013075000000000003,81.04499999999999,1.480000000000004,20,20
8,1000.0,5,10,0.0,0.0,0.0,ok,0.5,0.0,0.0083,0.0011249999999999993,0.03,0.0,20,20
9,1000.0,556,442,25.711380077775473,25.695947076528576,0.0006002400960280446,ok,0.666,15.43300124716415,0.2185,0.0179,95.83500000000001,0.48749999999999716,20,20
10,1000.0,2490,1090,28.095495431356625,28.0953236648533,6.113667002042929e-06,ok,0.5,18.730330287571082,2.8244499999999997,0.09157500000000063,1546.1100000000001,21.747499999999945,20,20
