id,baseline_algo,original_points,baseline_points,simplify_points,baseline_frechet,simplify_frechet,baseline_time,simplify_time,best_e,best_d
8,DOTS,5,5,10,0.0,8.879192686811778e-07,0.019170333005604334,0.0,0.7,0.0
8,SQUISH,5,1,-1,,-1,0.0033237500028917566,-1,-1,-1
7,DP,454,188,198,199.68838773994975,168.9809624093879,0.004280166991520673,0.14784999999999998,0.8,110.93799318886097
7,DOTS,454,385,326,1.9952680816630264,1.693815435543087,0.023050832998706028,0.15175999999999998,0.8,1.1084822675905701
7,SQUISH,454,45,20,3624.0145675796616,3030.929787501738,0.004019875006633811,0.19974,0.8,2013.3414264331452
9,DP,643,222,104,709.1629536293013,600.0949954458066,0.016085041002952494,0.23457,0.8,393.97941868294515
9,DOTS,643,556,452,25.711380077775473,21.761600540517556,0.020081082999240607,0.19229,0.8,14.284100043208596
9,SQUISH,643,64,26,1967.7068065889248,1665.0699164924838,0.005101999995531514,0.24659,0.8,1093.1704481049583
12,DP,814,3,8,230.38129142225083,186.05423981327354,0.004917291007586755,0.27967000000000003,0.8,127.9896063456949
12,DOTS,814,158,104,23.108981953127604,19.55763354580735,0.019326833993545733,0.24668,0.8,12.838323307293113
12,SQUISH,814,81,44,55.84695826304789,47.26076697005137,0.004103875005966984,0.29686,0.8,31.026087923915494
11,DP,703,267,286,211.37756848023093,178.87420130451923,0.006319917010841891,0.26579,0.8,117.43198248901719
11,DOTS,703,637,454,29.847798083519553,25.263123735821576,0.018070791993523017,0.23125,0.8,16.58211004639975
11,SQUISH,703,70,28,3149.369141964579,2664.9889006502203,0.005182250009966083,0.27588,0.8,1749.6495233136548
13,DP,368,206,208,231.24233163407607,195.68296788159034,0.005454084006487392,0.11436,0.8,128.46796201893113
13,DOTS,368,334,296,28.270714768499296,23.926743019188528,0.020455083998967893,0.11003,0.8,15.705952649166274
13,SQUISH,368,36,4,8755.942369356322,7087.275878981922,0.005477707993122749,0.040659999999999995,0.8,4864.412427420179
10,DP,5617,313,302,198.79545132234045,168.22241809508077,0.01714579098916147,2.0507600000000004,0.8,110.44191740130024
10,DOTS,5617,2490,1202,28.095495431356625,23.778708665028493,0.052060749992961064,1.94401,0.8,15.608608572975902
10,SQUISH,5617,561,128,579.424314748119,490.3107452923507,0.021252709004329517,2.49293,0.8,321.9023970822883
14,DP,661,150,82,537.8174403295876,455.1046099153367,0.006435541989048943,0.22876,0.8,298.7874668497709
14,DOTS,661,490,326,29.390881874042048,24.87473629749976,0.015961540993885137,0.24619,0.8,16.32826770780114
14,SQUISH,661,66,26,1786.930429223478,1512.0963466724718,0.005549292007344775,0.25161,0.8,992.7391273463767
15,DP,1131,307,212,375.2395374919158,317.5321077593942,0.011231209005927667,0.41602999999999996,0.8,208.466409717731
15,DOTS,1131,902,652,26.64695518715059,22.553946628018494,0.02842062499257736,0.38817,0.8,14.803863992861437
15,SQUISH,1131,113,20,3031.2469435856638,2565.031227436315,0.007280666002770886,0.49151,0.8,1684.0260797698131
18,DP,1615,3,6,7741.344064725039,6550.706506772394,0.0074706660088850185,0.83624,0.8,4300.7467026250215
18,DOTS,1615,86,64,22.1657835305181,18.76095042778867,0.019740457995794713,0.69666,0.8,12.314324183621167
